Date,Open,High,Low,Close,Volume
2005-06-09,28.503,28.503,26.726,26.726,1680587
2005-06-10,26.816,27.175,26.278,26.278,635542
2005-06-13,26.726,26.816,26.278,26.457,200241
2005-06-14,26.637,26.637,26.457,26.457,169791
2005-06-15,26.457,26.547,26.278,26.457,150083
2005-06-16,26.457,26.457,26.017,26.017,160488
2005-06-17,26.188,26.188,25.838,25.928,267942
2005-06-20,25.838,25.928,25.658,25.838,215288
2005-06-21,25.838,25.928,25.658,25.838,307030
2005-06-22,25.928,26.637,25.928,26.547,280435
2005-06-23,26.726,26.996,26.367,26.367,207398
2005-06-24,26.457,26.637,26.188,26.188,39927
2005-06-27,26.188,26.547,26.098,26.457,21097
2005-06-28,26.547,26.547,26.188,26.457,20165
2005-06-29,26.637,26.637,26.278,26.367,32714
2005-06-30,26.457,26.457,26.098,26.367,52458
2005-07-01,26.457,26.457,26.188,26.278,37595
2005-07-04,26.278,26.637,26.278,26.457,45215
2005-07-05,26.547,26.906,26.457,26.726,88550
2005-07-06,26.726,26.726,26.547,26.637,21750
2005-07-07,26.726,26.726,26.278,26.637,82909
2005-07-08,26.726,27.884,26.726,27.615,1064699
2005-07-11,27.974,28.333,27.525,27.705,641030
2005-07-12,27.794,27.794,27.615,27.705,230207
2005-07-13,27.705,28.064,27.705,28.064,446867
2005-07-14,28.153,28.243,27.974,28.064,359257
2005-07-15,27.974,27.974,27.794,27.884,218446
2005-07-18,27.794,27.884,27.265,27.346,211137
2005-07-19,27.265,27.435,26.996,27.346,185934
2005-07-20,27.346,27.615,26.996,27.085,184728
2005-07-21,27.175,27.346,26.726,26.726,262236
2005-07-22,26.637,26.726,26.367,26.457,241156
2005-07-25,26.637,27.435,26.637,27.435,272118
2005-07-26,27.435,27.884,27.435,27.884,566098
2005-07-27,27.884,27.974,27.705,27.974,363813
2005-07-28,27.974,28.153,27.884,28.153,749975
2005-07-29,28.153,28.153,27.884,27.974,262196
2005-08-01,27.884,27.974,27.615,27.794,200172
