Date,Open,High,Low,Close,Volume
1999-11-26,18.026,18.186,17.375,17.94,13430007
1999-11-29,17.856,17.94,17.535,17.62,4657517
1999-11-30,17.781,18.101,17.781,17.94,2783981
1999-12-01,18.101,18.507,17.94,18.507,2606682
1999-12-02,18.676,19.241,18.591,18.836,2798318
1999-12-03,18.836,19.156,18.676,19.08,1997023
1999-12-06,19.241,19.892,19.241,19.808,2545111
1999-12-07,19.732,19.808,19.486,19.486,2054896
1999-12-08,19.486,19.968,19.486,19.646,3224605
1999-12-09,19.646,19.646,19.156,19.486,2128715
1999-12-10,19.646,19.646,19.317,19.401,1586395
1999-12-13,19.317,19.486,19.156,19.241,1335937
1999-12-14,19.486,19.808,19.486,19.808,2677196
1999-12-15,19.732,19.732,19.486,19.563,1110170
1999-12-16,19.486,19.486,19.241,19.317,1241153
1999-12-17,19.317,19.486,19.241,19.241,1142376
1999-12-20,19.486,19.732,19.401,19.732,2063591
1999-12-21,19.563,20.137,19.563,19.808,1347847
1999-12-22,20.298,20.948,20.298,20.779,2425512
1999-12-23,20.863,21.108,20.703,20.779,1106840
1999-12-27,20.863,21.353,20.863,20.948,1304372
1999-12-28,20.863,20.863,20.374,20.458,949408
1999-12-29,20.458,21.193,20.458,21.193,1704120
2000-01-03,21.598,21.918,21.269,21.674,1360886
2000-01-04,21.108,21.108,20.618,20.779,1670394
2000-01-05,20.053,20.703,20.053,20.542,2302777
2000-01-06,20.618,21.024,20.374,20.948,1391897
2000-01-07,21.269,22.164,21.269,21.918,3546588
2000-01-10,22.004,23.058,22.004,22.164,3737894
2000-01-11,21.834,22.004,21.353,21.758,1427083
2000-01-12,21.269,21.674,21.269,21.674,1157392
2000-01-13,21.758,22.484,21.758,22.325,1813710
2000-01-14,22.325,22.654,21.918,22.164,3408214
2000-01-17,21.918,22.164,21.918,22.004,1498378
2000-01-18,22.079,22.164,21.353,21.514,1055579
2000-01-19,21.193,21.674,21.193,21.598,1311426
2000-01-20,21.674,22.004,21.429,21.918,1833025
2000-01-21,21.758,22.164,21.758,22.079,1332554
2000-01-24,21.758,21.758,21.108,21.429,1003299
2000-01-25,20.863,20.863,19.892,20.618,1637107
2000-01-26,20.618,20.779,20.374,20.618,1178497
2000-01-27,20.458,20.948,20.458,20.948,844252
2000-01-28,21.024,21.429,20.458,20.703,884990
2000-01-31,20.542,20.542,20.298,20.374,763099
2000-02-01,20.779,21.193,20.053,20.137,1215630
2000-02-02,20.213,20.374,19.968,20.298,1378866
2000-02-03,20.458,21.193,20.458,21.024,1585044
2000-02-04,21.269,21.514,20.618,20.779,1220055
2000-02-07,20.703,20.863,20.374,20.542,1054081
2000-02-08,20.542,20.542,20.137,20.298,1517826
2000-02-09,20.458,20.542,19.808,19.892,2631428
2000-02-10,19.808,19.892,19.486,19.732,1208012
2000-02-11,19.486,19.486,18.752,18.912,2917370
2000-02-14,18.507,19.646,18.507,19.486,2187949
2000-02-15,20.298,20.298,19.563,19.646,2199188
2000-02-16,19.892,19.892,18.912,19.156,1522169
2000-02-17,19.156,19.892,18.912,19.892,1418638
2000-02-18,19.732,20.374,19.732,20.053,2581819
2000-02-21,19.08,19.732,19.08,19.646,931218
2000-02-22,19.646,20.137,19.241,19.241,985230
2000-02-23,19.317,19.563,18.752,19.08,1493301
2000-02-24,18.912,19.241,18.507,18.676,1714630
2000-02-25,18.676,18.676,18.186,18.431,1038837
2000-02-28,17.781,18.431,17.62,18.101,1659944
2000-02-29,18.431,18.431,18.026,18.186,735723
2000-03-01,18.261,18.431,18.026,18.261,1107242
2000-03-02,18.261,18.996,18.261,18.836,1200699
2000-03-03,18.912,19.241,18.836,19.241,877270
2000-03-06,19.486,19.646,18.996,19.08,815777
2000-03-07,19.08,19.08,18.676,18.912,688012
2000-03-08,18.261,18.752,18.261,18.591,802840
2000-03-09,18.836,18.836,18.261,18.261,700288
2000-03-10,18.996,18.996,18.431,18.507,704740
2000-03-13,18.431,18.591,17.781,18.026,1352529
2000-03-14,18.261,18.836,18.026,18.836,2894971
2000-03-15,18.507,18.591,18.186,18.261,983162
2000-03-16,18.912,18.912,18.431,18.676,1306313
2000-03-17,19.08,19.08,18.836,18.912,1751765
2000-03-20,18.912,18.912,18.676,18.752,696626
2000-03-21,18.676,18.836,18.431,18.591,545642
2000-03-22,19.08,19.732,19.08,19.486,1959344
2000-03-23,19.486,19.808,19.486,19.646,1630394
2000-03-24,19.808,19.892,19.563,19.732,1508071
2000-03-27,19.732,19.732,19.317,19.317,640832
